,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,3.0,3.0,52.35931,4.89844,4.0,1.5,2.0,2.0,200.0,4.0,21,4.0,4.0,21,21.0,4.0,21.0,0.0,0.0,0,0,32.0,0.0,0.0,4.63,4.69,4.63,4.84,4.88,4.91,4.66,3.0,2.0,1.0,0.0,0.22
1,2.0,2.0,52.39185,4.8869,2.9,1.5,1.5,2.0,200.0,2.0,30,2.0,2.0,30,30.0,2.0,30.0,5.0,15.0,25,274,103.0,4.0,1.0,4.86,4.82,4.69,4.86,4.88,4.58,4.48,2.0,2.0,0.0,0.0,0.72
2,3.0,3.0,52.35871,4.89616,2.0,1.0,1.0,0.0,155.0,3.0,21,3.0,3.0,21,21.0,3.0,21.0,0.0,0.0,0,0,6.0,0.0,0.0,4.83,4.8,5.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,0.0,0.04
3,3.0,3.0,52.35972,4.8975,2.0,1.0,1.0,0.0,155.0,3.0,10,3.0,3.0,10,10.0,3.0,10.0,0.0,0.0,0,0,36.0,0.0,0.0,4.75,4.69,4.69,4.94,4.92,4.92,4.64,3.0,2.0,1.0,0.0,0.29
4,1.0,1.0,52.37104,4.87713,2.0,1.0,1.0,0.0,155.0,5.0,15,5.0,5.0,15,15.0,5.0,15.0,14.0,33.0,61,326,93.0,5.0,1.0,4.78,4.74,4.81,4.9,4.92,4.94,4.61,1.0,1.0,0.0,0.0,0.63
5,2.0,2.0,52.36866,4.92071,2.9,2.5,1.5,1.5,1600.0,2.0,60,2.0,2.0,60,60.0,2.0,60.0,0.0,0.0,0,211,137.0,14.0,0.0,4.8,4.81,4.65,4.9,4.91,4.52,4.55,2.0,2.0,0.0,0.0,0.99
6,1.0,3.0,52.35659,4.90827,2.0,1.0,1.0,1.0,125.0,2.0,7,2.0,2.0,7,7.0,2.0,7.0,4.0,6.0,13,239,292.0,59.0,1.0,4.94,4.93,4.99,4.95,4.95,4.88,4.83,1.0,0.0,1.0,0.0,2.07
7,1.0,3.0,52.38295,4.88726,2.0,1.0,1.0,1.0,125.0,5.0,100,5.0,5.0,100,100.0,5.0,100.0,0.0,0.0,0,0,90.0,8.0,3.0,4.73,4.7,4.61,4.91,4.91,4.91,4.56,1.0,1.0,0.0,0.0,0.65
8,1.0,1.0,52.36435,4.94358,2.0,1.5,1.0,2.0,82.0,3.0,28,3.0,3.0,1125,1125.0,3.0,1125.0,2.0,4.0,11,41,377.0,41.0,6.0,4.9,4.93,4.99,4.96,4.98,4.72,4.8,1.0,0.0,1.0,0.0,2.04
9,1.0,1.0,52.38761,4.89188,2.0,1.5,1.0,1.0,155.0,3.0,356,3.0,3.0,1125,1125.0,3.0,1125.0,0.0,0.0,0,63,273.0,22.0,2.0,4.93,4.91,4.94,4.95,4.92,4.89,4.78,1.0,0.0,1.0,0.0,1.8
10,2.0,2.0,52.36775,4.89092,2.0,1.0,1.0,1.0,79.0,2.0,730,2.0,2.0,730,730.0,2.0,730.0,4.0,4.0,9,129,33.3,8.4,0.7,4.87,4.9,4.87,4.94,4.94,4.94,4.84,2.0,0.0,2.0,0.0,3.66
11,2.0,2.0,52.36584,4.89111,2.0,1.0,1.0,1.0,59.0,2.0,730,2.0,2.0,730,730.0,2.0,730.0,3.0,7.0,10,151,33.3,84.0,6.0,4.81,4.88,4.84,4.92,4.92,4.88,4.79,2.0,0.0,2.0,0.0,4.55
12,1.0,1.0,52.37168,4.91471,4.0,1.0,2.0,1.0,59.0,3.0,730,3.0,3.0,730,730.0,3.0,730.0,0.0,0.0,0,0,42.0,0.0,0.0,4.71,4.68,4.49,4.95,4.9,4.68,4.5,1.0,1.0,0.0,0.0,0.25
13,1.0,1.0,52.32780775677816,4.87680005722526,4.0,1.5,2.0,2.0,269.0,3.0,30,3.0,3.0,30,30.0,3.0,30.0,0.0,0.0,21,21,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.6,5.0,1.0,1.0,0.0,0.0,0.46
14,1.0,2.0,52.38028,4.89089,3.0,1.0,2.0,2.0,321.0,3.0,1125,1.0,3.0,1125,1125.0,3.0,1125.0,8.0,9.0,16,187,33.3,61.0,0.7,4.93,4.92,4.92,4.95,4.97,4.98,4.77,1.0,1.0,0.0,0.0,3.26
15,1.0,1.0,52.37118,4.93146,4.0,1.5,2.0,3.0,475.0,3.0,10,3.0,3.0,10,10.0,3.0,10.0,0.0,0.0,0,161,163.0,4.0,1.0,4.87,4.93,4.8,4.84,4.77,4.66,4.76,1.0,1.0,0.0,0.0,0.98
16,1.0,1.0,52.37559,4.83857,5.0,1.5,3.0,3.0,130.0,5.0,18,5.0,5.0,18,18.0,5.0,18.0,0.0,3.0,6,7,14.0,2.0,1.0,4.79,4.79,4.79,4.79,4.86,4.5,4.71,1.0,1.0,0.0,0.0,0.11
17,1.0,1.0,52.36811,4.88262,2.0,1.0,1.0,1.0,146.0,2.0,365,2.0,2.0,365,365.0,2.0,365.0,5.0,13.0,20,253,33.3,59.0,2.0,4.88,4.9,4.85,4.87,4.82,4.95,4.83,1.0,0.0,1.0,0.0,2.86
18,1.0,1.0,52.35559,4.9,3.0,1.0,1.0,1.0,146.0,1.0,21,1.0,1.0,21,21.0,1.0,21.0,0.0,0.0,0,0,12.0,11.0,1.0,5.0,5.0,4.92,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.18
19,2.0,4.0,52.358112,4.897637,2.0,1.0,1.0,1.0,146.0,28.0,30,28.0,28.0,30,30.0,28.0,30.0,0.0,0.0,0,0,68.0,2.0,0.0,4.95,4.9,4.93,4.94,4.98,4.93,4.81,1.0,1.0,0.0,0.0,0.41
20,1.0,1.0,52.35597,4.88512,4.0,1.5,2.0,2.0,149.0,3.0,21,3.0,3.0,21,21.0,3.0,21.0,0.0,0.0,0,7,96.0,1.0,0.0,4.86,4.91,4.86,4.95,4.98,4.95,4.79,1.0,1.0,0.0,0.0,0.59
21,1.0,1.0,52.36431,4.93122,2.0,1.5,1.0,1.0,200.0,2.0,6,2.0,2.0,6,6.0,2.0,6.0,0.0,0.0,12,12,38.0,3.0,0.0,4.89,4.92,4.89,5.0,4.89,4.65,4.57,1.0,1.0,0.0,0.0,0.23
22,4.0,4.0,52.37828,4.8944,1.0,1.5,1.0,1.0,200.0,3.0,1125,3.0,3.0,1125,1125.0,3.0,1125.0,0.0,0.0,0,0,241.0,0.0,0.0,4.77,4.74,4.82,4.85,4.79,4.95,4.57,4.0,0.0,4.0,0.0,1.5
23,1.0,1.0,52.35774,4.89647,2.0,1.0,1.0,1.0,181.0,1.0,30,1.0,1.0,1125,1125.0,1.0,1125.0,3.0,18.0,21,21,226.0,85.0,0.7,4.78,4.85,4.7,4.83,4.87,4.91,4.56,1.0,0.0,1.0,0.0,1.44
24,2.0,2.0,52.34801,4.83639,2.0,1.0,1.0,2.0,85.0,2.0,8,2.0,2.0,8,8.0,2.0,8.0,5.0,11.0,27,278,347.0,64.0,4.0,4.67,4.73,4.89,4.7,4.79,4.43,4.54,2.0,0.0,2.0,0.0,2.2
25,2.0,3.0,52.35178,4.90699,4.0,2.0,3.0,3.0,350.0,2.0,1125,1.0,2.0,1125,1125.0,2.0,1125.0,0.0,14.0,25,93,105.0,3.0,0.0,4.74,4.78,4.67,4.95,4.87,4.82,4.6,1.0,1.0,0.0,0.0,0.69
26,1.0,2.0,52.3642,4.92829,3.0,2.0,1.0,3.0,350.0,3.0,15,3.0,3.0,15,15.0,3.0,15.0,0.0,0.0,0,0,21.0,0.0,0.0,4.76,4.76,4.81,4.81,4.86,4.33,4.52,1.0,1.0,0.0,0.0,0.14
27,1.0,3.0,52.39364,4.94538,4.0,1.0,3.0,4.0,300.0,3.0,14,3.0,3.0,14,14.0,3.0,14.0,0.0,3.0,11,140,14.0,0.0,0.0,4.5,4.5,4.8,4.75,5.0,4.42,4.67,1.0,1.0,0.0,0.0,0.09
28,4.0,4.0,52.37956,4.89359,1.0,1.0,1.0,4.0,300.0,3.0,1124,3.0,3.0,1124,1124.0,3.0,1124.0,0.0,0.0,0,0,279.0,0.0,0.0,4.59,4.66,4.77,4.77,4.71,4.96,4.4,4.0,0.0,4.0,0.0,1.8
29,1.0,1.0,52.36768,4.86646,3.0,1.0,2.0,4.0,300.0,3.0,5,3.0,3.0,5,5.0,3.0,5.0,0.0,0.0,0,0,103.0,0.0,0.0,4.75,4.82,4.77,4.96,4.97,4.73,4.75,1.0,1.0,0.0,0.0,0.66
30,2.0,2.0,52.34332,4.89484,3.0,1.5,2.0,2.0,445.0,10.0,60,10.0,10.0,1125,1125.0,10.0,1125.0,22.0,32.0,62,202,34.0,3.0,1.0,4.59,4.78,4.44,4.81,4.91,4.69,4.42,2.0,1.0,0.0,0.0,0.22
31,1.0,3.0,52.3683,4.85446,2.0,1.0,1.0,1.0,97.0,1.0,15,1.0,1.0,1125,1125.0,1.0,1125.0,0.0,21.0,38,38,33.3,27.0,0.7,4.67,4.71,4.8,4.85,4.88,4.51,4.5,1.0,0.0,1.0,0.0,2.7
32,1.0,1.0,52.37548,4.89398,4.0,1.0,1.0,3.0,260.0,2.0,1125,2.0,2.0,1125,1125.0,2.0,1125.0,5.0,7.0,7,130,361.0,52.0,0.7,4.8,4.87,4.82,4.94,4.96,4.95,4.66,1.0,1.0,0.0,0.0,2.33
33,1.0,2.0,52.35222,4.84789,3.0,1.0,2.0,3.0,260.0,3.0,28,3.0,4.0,28,28.0,3.1,28.0,0.0,1.0,1,1,13.0,1.0,0.0,4.46,4.54,4.15,4.62,4.69,4.46,4.46,1.0,1.0,0.0,0.0,0.09
34,1.0,2.0,52.36057,4.89671,2.0,1.0,1.0,1.0,163.0,3.0,31,3.0,3.0,1125,1125.0,3.0,1125.0,3.0,10.0,10,10,33.3,29.0,5.0,4.97,4.97,4.98,4.99,4.98,4.95,4.88,1.0,0.0,1.0,0.0,4.49
35,1.0,1.0,52.36698,4.86622,4.0,1.0,2.0,1.0,163.0,3.0,365,3.0,3.0,365,365.0,3.0,365.0,0.0,0.0,0,0,22.0,3.0,0.0,4.71,4.73,4.45,4.95,5.0,4.86,4.5,1.0,1.0,0.0,0.0,0.14
36,3.0,4.0,52.3515,4.89656,4.0,1.0,3.0,1.0,163.0,4.0,65,4.0,4.0,65,65.0,4.0,65.0,0.0,0.0,0,0,23.0,1.0,0.0,4.83,4.86,4.26,4.96,5.0,4.87,4.65,1.0,1.0,0.0,0.0,0.15
37,1.0,1.0,52.37169,4.89446,3.0,1.0,1.0,2.0,115.0,3.0,50,3.0,3.0,50,50.0,3.0,50.0,0.0,0.0,0,0,169.0,0.0,0.0,4.82,4.87,4.77,4.88,4.84,4.89,4.74,1.0,0.0,1.0,0.0,1.1
38,2.0,6.0,52.37696,4.87891,2.0,1.0,1.0,1.0,299.0,3.0,29,3.0,3.0,29,29.0,3.0,29.0,25.0,55.0,85,85,19.0,8.0,1.0,4.78,4.53,4.58,5.0,4.95,4.95,4.47,1.0,1.0,0.0,0.0,0.13
39,1.0,2.0,52.36883,4.88749,2.0,1.0,1.0,1.0,299.0,2.0,760,2.0,2.0,760,760.0,2.0,760.0,0.0,0.0,0,0,16.0,0.0,0.0,4.88,5.0,4.88,5.0,5.0,5.0,4.56,1.0,0.0,1.0,0.0,0.11
40,5.0,7.0,52.36815,4.88604,4.0,1.5,2.0,3.0,779.0,2.0,180,2.0,5.0,180,180.0,3.5,180.0,0.0,5.0,21,278,224.0,41.0,2.0,4.86,4.91,4.91,4.89,4.91,4.98,4.68,1.0,1.0,0.0,0.0,1.52
41,1.0,1.0,52.36707,4.87348,2.0,1.5,1.0,0.0,132.0,2.0,365,2.0,2.0,365,365.0,2.0,365.0,2.0,3.0,4,129,33.3,63.0,6.0,4.88,4.92,4.89,4.95,4.95,4.87,4.75,1.0,0.0,1.0,0.0,3.15
42,1.0,1.0,52.36936,4.90963,4.0,1.3,3.0,4.0,440.0,3.0,14,3.0,4.0,14,14.0,3.1,14.0,0.0,1.0,2,9,21.0,5.0,0.0,4.95,4.95,4.9,4.9,5.0,4.95,4.65,1.0,1.0,0.0,0.0,0.14
43,1.0,1.0,52.37122,4.88211,2.0,1.3,1.0,4.0,440.0,2.0,1125,2.0,2.0,1125,1125.0,2.0,1125.0,0.0,0.0,0,0,63.0,0.0,0.0,4.94,4.94,4.87,4.98,4.94,5.0,4.67,1.0,1.0,0.0,0.0,0.47
44,2.0,3.0,52.34416,4.88709,4.0,1.0,2.0,3.0,186.0,2.0,20,2.0,2.0,20,20.0,2.0,20.0,3.0,11.0,24,248,210.0,48.0,3.0,4.9,4.91,4.95,4.92,4.9,4.82,4.69,1.0,0.0,1.0,0.0,1.42
45,1.0,1.0,52.35861,4.86023,4.0,3.0,3.0,0.0,450.0,5.0,30,5.0,7.0,30,30.0,5.1,30.0,0.0,15.0,15,15,8.0,1.0,0.0,4.63,4.5,4.63,4.75,4.88,4.75,4.5,1.0,1.0,0.0,0.0,0.06
46,1.0,3.0,52.35695,4.85234,2.0,3.0,3.0,0.0,450.0,3.0,30,3.0,3.0,1125,1125.0,3.0,1125.0,0.0,0.0,0,0,113.0,0.0,0.0,4.83,4.83,4.86,4.98,4.95,4.69,4.66,1.0,0.0,1.0,0.0,0.76
47,1.0,1.0,52.36563,4.88454,4.0,1.0,2.0,2.0,450.0,4.0,40,4.0,4.0,40,40.0,4.0,40.0,0.0,0.0,0,84,44.0,4.0,0.0,4.95,4.88,4.84,4.89,4.93,4.93,4.73,1.0,1.0,0.0,0.0,0.3
48,1.0,1.0,52.35435,4.87316,2.9,1.5,1.5,1.5,979.0,2.0,90,2.0,2.0,90,90.0,2.0,90.0,21.0,51.0,81,261,128.0,7.0,0.0,4.49,4.52,4.52,4.7,4.83,4.73,4.06,1.0,1.0,0.0,0.0,0.86
49,2.0,2.0,52.37561,4.9,2.0,1.0,1.0,1.0,184.0,3.0,365,2.0,30.0,1125,1125.0,14.8,1125.0,1.0,4.0,5,171,376.0,23.0,1.0,4.91,4.96,4.92,4.94,4.92,4.92,4.81,2.0,0.0,2.0,0.0,2.5
50,2.0,2.0,52.37561,4.9,2.0,1.0,1.0,1.0,185.0,3.0,365,1.0,30.0,1125,1125.0,14.8,1125.0,2.0,7.0,12,147,33.3,40.0,1.0,4.86,4.92,4.91,4.93,4.9,4.92,4.75,2.0,0.0,2.0,0.0,3.03
51,1.0,1.0,52.35179,4.91082,2.0,1.0,1.0,1.0,125.0,3.0,1125,3.0,3.0,1125,1125.0,3.0,1125.0,6.0,16.0,33,300,260.0,17.0,0.0,4.88,4.94,4.84,4.93,4.93,4.78,4.73,1.0,0.0,1.0,0.0,1.72
52,1.0,1.0,52.37239,4.89657,2.0,1.5,1.0,1.0,141.0,3.0,1125,2.0,3.0,1125,1125.0,3.0,1125.0,2.0,11.0,22,248,309.0,63.0,3.0,4.76,4.78,4.72,4.86,4.85,4.87,4.58,1.0,1.0,0.0,0.0,2.08
53,2.0,3.0,52.3623,4.92028,2.0,1.5,1.0,1.0,141.0,28.0,1125,28.0,28.0,1125,1125.0,28.0,1125.0,0.0,0.0,0,0,50.0,0.0,0.0,4.55,4.85,4.06,4.91,4.86,4.85,4.44,1.0,1.0,0.0,0.0,0.33
54,2.0,4.0,52.35625,4.89323,4.0,1.5,1.0,6.0,264.0,3.0,30,1.0,6.0,30,30.0,3.3,30.0,0.0,6.0,7,67,33.3,78.0,6.0,4.94,4.91,4.92,4.98,4.98,4.91,4.83,1.0,0.0,1.0,0.0,4.46
55,1.0,1.0,52.3606,4.85739,5.0,2.0,4.0,5.0,275.0,3.0,14,3.0,3.0,14,14.0,3.0,14.0,0.0,17.0,19,19,30.0,5.0,1.0,4.9,4.9,4.7,4.93,4.9,4.83,4.72,1.0,1.0,0.0,0.0,0.23
56,1.0,3.0,52.35715,4.90926,2.0,1.0,1.0,1.0,128.0,5.0,30,1.0,5.0,1125,1125.0,5.0,1125.0,5.0,10.0,24,176,33.3,52.0,2.0,4.89,4.88,4.87,4.97,4.97,4.89,4.75,1.0,0.0,1.0,0.0,3.61
57,1.0,1.0,52.36348,4.87648,4.0,1.5,4.0,4.0,245.0,3.0,1125,1.0,3.0,1125,1125.0,3.0,1125.0,0.0,6.0,15,15,134.0,9.0,0.0,4.86,4.88,4.83,4.92,4.95,4.94,4.73,1.0,1.0,0.0,0.0,0.9
58,1.0,7.0,52.36427,4.91063,3.0,1.0,1.0,0.0,228.0,2.0,1125,2.0,4.0,1125,1125.0,2.1,1125.0,4.0,34.0,57,64,107.0,5.0,3.0,4.56,4.64,4.21,4.56,4.78,4.53,4.33,1.0,1.0,0.0,0.0,0.72
59,1.0,2.0,52.367377549542454,4.896707133551012,2.0,1.5,1.0,1.0,173.0,3.0,60,3.0,3.0,60,60.0,3.0,60.0,8.0,35.0,65,163,33.3,41.0,4.0,4.76,4.83,4.76,4.86,4.9,4.92,4.65,1.0,0.0,1.0,0.0,3.5
60,1.0,1.0,52.36263,4.90216,2.0,1.5,1.0,1.0,529.0,5.0,30,5.0,5.0,30,30.0,5.0,30.0,23.0,53.0,83,173,19.0,1.0,0.0,5.0,4.95,4.89,4.95,5.0,5.0,4.79,1.0,1.0,0.0,0.0,0.18
61,1.0,4.0,52.35464776933696,4.906100814228655,2.0,1.0,1.0,1.0,188.0,3.0,360,3.0,3.0,1125,1125.0,3.0,1125.0,6.0,12.0,28,112,94.0,3.0,0.0,4.66,4.66,4.53,4.75,4.57,4.85,4.43,1.0,0.0,1.0,0.0,0.64
62,1.0,2.0,52.35043,4.84676,2.0,1.0,1.0,1.0,150.0,4.0,30,1.0,4.0,30,30.0,4.0,30.0,1.0,5.0,25,26,9.0,0.0,0.0,4.89,4.89,4.67,4.89,5.0,4.67,4.78,1.0,1.0,0.0,0.0,0.08
63,1.0,1.0,52.36905,4.93528,3.0,1.0,1.0,1.0,145.0,2.0,30,2.0,2.0,30,30.0,2.0,30.0,2.0,3.0,3,153,84.0,5.0,0.0,4.89,4.93,4.77,4.99,4.98,4.81,4.76,1.0,1.0,0.0,0.0,0.57
64,1.0,1.0,52.3609619140625,4.88822603225708,2.0,1.0,1.0,1.0,145.0,3.0,30,3.0,3.0,30,30.0,3.0,30.0,1.0,1.0,1,1,27.0,0.0,0.0,4.81,4.63,4.67,4.74,4.89,4.89,4.63,1.0,1.0,0.0,0.0,0.18
65,1.0,1.0,52.341621,4.849049,4.0,1.0,2.0,2.0,200.0,3.0,60,1.0,3.0,60,60.0,3.0,60.0,2.0,3.0,3,33,131.0,5.0,2.0,4.88,4.87,4.83,4.91,4.89,4.67,4.72,1.0,1.0,0.0,0.0,0.89
66,1.0,1.0,52.37281,4.94303,4.0,2.0,3.0,3.0,175.0,4.0,30,4.0,4.0,1125,1125.0,4.0,1125.0,0.0,2.0,5,5,41.0,4.0,0.0,4.63,4.71,4.41,4.83,4.8,4.73,4.56,1.0,1.0,0.0,0.0,0.28
67,1.0,3.0,52.37001,4.85646,3.0,1.0,2.0,3.0,80.0,3.0,30,3.0,3.0,1125,1125.0,3.0,1125.0,2.0,3.0,5,79,33.3,51.0,5.0,4.8,4.86,4.88,4.94,4.93,4.74,4.67,1.0,0.0,1.0,0.0,3.75
68,2.0,3.0,52.37006,4.90081,4.0,1.0,2.0,3.0,330.0,3.0,1125,1.0,3.0,1125,1125.0,2.9,1125.0,0.0,0.0,2,184,251.0,69.0,4.0,4.76,4.76,4.78,4.76,4.76,4.97,4.55,2.0,2.0,0.0,0.0,1.76
69,1.0,1.0,52.3739,4.89263,2.0,1.0,3.0,3.0,330.0,4.0,20,4.0,6.0,1125,1125.0,4.1,1125.0,0.0,1.0,1,1,44.0,5.0,0.0,4.98,5.0,4.98,4.93,5.0,4.95,4.88,1.0,1.0,0.0,0.0,0.4
70,1.0,1.0,52.3509,4.83293,2.0,1.0,2.0,3.0,330.0,2.0,14,2.0,2.0,14,14.0,2.0,14.0,0.0,0.0,0,0,34.0,0.0,0.0,4.88,4.85,4.88,4.94,4.97,4.38,4.82,1.0,0.0,1.0,0.0,0.37
71,1.0,1.0,52.36168,4.8732,4.0,1.3,3.0,3.0,600.0,5.0,30,1.0,5.0,30,30.0,5.0,30.0,1.0,13.0,13,13,17.0,1.0,0.0,4.94,4.94,4.71,4.88,5.0,4.94,4.71,1.0,1.0,0.0,0.0,0.13
72,1.0,1.0,52.3543,4.87701,5.0,1.3,3.0,3.0,600.0,5.0,22,5.0,5.0,22,22.0,5.0,22.0,0.0,0.0,0,0,11.0,0.0,0.0,4.82,5.0,4.73,5.0,5.0,4.73,4.82,1.0,1.0,0.0,0.0,0.08
73,1.0,3.0,52.36412,4.88757,4.0,1.0,3.0,4.0,475.0,3.0,30,3.0,3.0,30,30.0,3.0,30.0,4.0,28.0,36,194,61.0,0.0,0.0,4.74,4.85,4.72,4.9,4.97,4.93,4.49,1.0,1.0,0.0,0.0,0.43
74,1.0,1.0,52.37694,4.88003,4.0,1.0,2.0,3.0,500.0,2.0,4,2.0,2.0,4,4.0,2.0,4.0,4.0,4.0,5,5,62.0,0.0,0.0,4.74,4.72,4.66,4.82,4.9,4.81,4.34,1.0,1.0,0.0,0.0,0.43
75,1.0,1.0,52.39675,4.99603,4.0,1.5,1.0,2.0,180.0,2.0,10,2.0,2.0,10,10.0,2.0,10.0,21.0,34.0,64,339,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.8,4.0,1.0,1.0,0.0,0.0,0.02
